Unmatched Ingredient,Role,Mention Count,Product Count,Classification,Best Candidate Canonical Ingredient,Candidate Score,Mapping Basis,Confidence,Reason,Recommended Next Step
Narcissuspoeticus - 0.5%,Secondary,1,1,NO_CANDIDATE,,,No reliable equivalence,HIGH,"No comparable ingredient exists in the 1,734-name vocabulary.",NO_ACTION
Neo Heliopan Hydro,Primary,1,1,NO_CANDIDATE,,,No reliable equivalence,HIGH,"No comparable ingredient exists in the 1,734-name vocabulary.",NO_ACTION
Normalizes Keratinisation,Secondary,1,1,NO_CANDIDATE,,,No reliable equivalence,HIGH,"No comparable ingredient exists in the 1,734-name vocabulary.",NO_ACTION
Octyldodecanolm Polyglyceryl-2 Triisostearate,Primary,1,1,NO_CANDIDATE,,,No reliable equivalence,HIGH,"No comparable ingredient exists in the 1,734-name vocabulary.",NO_ACTION
Octyldodeceth-25,Primary,1,1,NO_CANDIDATE,,,No reliable equivalence,HIGH,"No comparable ingredient exists in the 1,734-name vocabulary.",NO_ACTION
Octyldodecyl Myristate,Primary,1,1,NO_CANDIDATE,,,No reliable equivalence,HIGH,"No comparable ingredient exists in the 1,734-name vocabulary.",NO_ACTION
Octyldodecyl Xyloside,Primary,1,1,NO_CANDIDATE,,,No reliable equivalence,HIGH,"No comparable ingredient exists in the 1,734-name vocabulary.",NO_ACTION
Oldenlandia Diffusa Extract,Secondary,1,1,NO_CANDIDATE,,,No reliable equivalence,HIGH,"No comparable ingredient exists in the 1,734-name vocabulary.",NO_ACTION
Olea Europaea -2.0%,Primary,1,1,NO_CANDIDATE,,,No reliable equivalence,HIGH,"No comparable ingredient exists in the 1,734-name vocabulary.",NO_ACTION
Oleaeuropaea - 0.5%,Primary,1,1,NO_CANDIDATE,,,No reliable equivalence,HIGH,"No comparable ingredient exists in the 1,734-name vocabulary.",NO_ACTION
Oleic,Primary,1,1,NO_CANDIDATE,,,No reliable equivalence,HIGH,"No comparable ingredient exists in the 1,734-name vocabulary.",NO_ACTION
Oleyl Adapalenate,Secondary,1,1,NO_CANDIDATE,,,No reliable equivalence,HIGH,"No comparable ingredient exists in the 1,734-name vocabulary.",NO_ACTION
Osmogeline,Primary,1,1,NO_CANDIDATE,,,No reliable equivalence,HIGH,"No comparable ingredient exists in the 1,734-name vocabulary.",NO_ACTION
PEG- 100 Stearate,Secondary,1,1,NO_CANDIDATE,,,No reliable equivalence,HIGH,"No comparable ingredient exists in the 1,734-name vocabulary.",NO_ACTION
Palmitoyl Glycine,Secondary,1,1,NO_CANDIDATE,,,No reliable equivalence,HIGH,Nearest name is only superficially similar; no genuine candidate exists.,NO_ACTION
Palmitoyl Isoleucine,Primary,1,1,NO_CANDIDATE,,,No reliable equivalence,HIGH,"No comparable ingredient exists in the 1,734-name vocabulary.",NO_ACTION
Panthenyl Triacetate,Primary,1,1,NO_CANDIDATE,,,No reliable equivalence,HIGH,"No comparable ingredient exists in the 1,734-name vocabulary.",NO_ACTION
Pantolactone,Secondary,1,1,NO_CANDIDATE,,,No reliable equivalence,HIGH,"No comparable ingredient exists in the 1,734-name vocabulary.",NO_ACTION
Passiflora Edulis Seed Oil,Secondary,1,1,NO_CANDIDATE,,,No reliable equivalence,HIGH,"No comparable ingredient exists in the 1,734-name vocabulary.",NO_ACTION
Peg- 1 Stearate,Secondary,1,1,NO_CANDIDATE,,,No reliable equivalence,HIGH,"No comparable ingredient exists in the 1,734-name vocabulary.",NO_ACTION
Phaseolus Angularis Seed Extract,Secondary,1,1,NO_CANDIDATE,,,No reliable equivalence,HIGH,Nearest name is only superficially similar; no genuine candidate exists.,NO_ACTION
Phenyl Trimethicone Blend,Secondary,1,1,NO_CANDIDATE,,,No reliable equivalence,HIGH,"No comparable ingredient exists in the 1,734-name vocabulary.",NO_ACTION
Phenylpropanol,Primary,1,1,NO_CANDIDATE,,,No reliable equivalence,HIGH,"No comparable ingredient exists in the 1,734-name vocabulary.",NO_ACTION
Phenyltrimethicone,Secondary,1,1,NO_CANDIDATE,,,No reliable equivalence,HIGH,"No comparable ingredient exists in the 1,734-name vocabulary.",NO_ACTION
Phyllostachys Nigra Leaf Extract,Secondary,1,1,NO_CANDIDATE,,,No reliable equivalence,HIGH,"No comparable ingredient exists in the 1,734-name vocabulary.",NO_ACTION
Phytosteryl Isostearyl Dimer Dilinoleate,Secondary,1,1,NO_CANDIDATE,,,No reliable equivalence,HIGH,"No comparable ingredient exists in the 1,734-name vocabulary.",NO_ACTION
Phytosteryl Macadamiate,Secondary,1,1,NO_CANDIDATE,,,No reliable equivalence,HIGH,"No comparable ingredient exists in the 1,734-name vocabulary.",NO_ACTION
Pinus Densiflora Leaf Extract,Secondary,1,1,NO_CANDIDATE,,,No reliable equivalence,HIGH,Nearest name is only superficially similar; no genuine candidate exists.,NO_ACTION
Plant-based Moisturisers,Secondary,1,1,NO_CANDIDATE,,,No reliable equivalence,HIGH,"No comparable ingredient exists in the 1,734-name vocabulary.",NO_ACTION
Platinum Liquidum,Primary,1,1,NO_CANDIDATE,,,No reliable equivalence,HIGH,"No comparable ingredient exists in the 1,734-name vocabulary.",NO_ACTION
Pogostemon Cablin Oil,Secondary,1,1,NO_CANDIDATE,,,No reliable equivalence,HIGH,"No comparable ingredient exists in the 1,734-name vocabulary.",NO_ACTION
Polycaprolactone,Secondary,1,1,NO_CANDIDATE,,,No reliable equivalence,HIGH,"No comparable ingredient exists in the 1,734-name vocabulary.",NO_ACTION
Polydiethylsiloxane,Primary,1,1,NO_CANDIDATE,,,No reliable equivalence,HIGH,"No comparable ingredient exists in the 1,734-name vocabulary.",NO_ACTION
Polyester-7,Primary,1,1,NO_CANDIDATE,,,No reliable equivalence,HIGH,"No comparable ingredient exists in the 1,734-name vocabulary.",NO_ACTION
Polyether-1,Primary,1,1,NO_CANDIDATE,,,No reliable equivalence,HIGH,"No comparable ingredient exists in the 1,734-name vocabulary.",NO_ACTION
Polymethylsilsequioxane,Secondary,1,1,NO_CANDIDATE,,,No reliable equivalence,HIGH,"No comparable ingredient exists in the 1,734-name vocabulary.",NO_ACTION
Polysaccharides,Primary,1,1,NO_CANDIDATE,,,No reliable equivalence,HIGH,"No comparable ingredient exists in the 1,734-name vocabulary.",NO_ACTION
Potassium Alum,Secondary,1,1,NO_CANDIDATE,,,No reliable equivalence,HIGH,"No comparable ingredient exists in the 1,734-name vocabulary.",NO_ACTION
Potassium Cetyl,Primary,1,1,NO_CANDIDATE,,,No reliable equivalence,HIGH,"No comparable ingredient exists in the 1,734-name vocabulary.",NO_ACTION
Potassium Cetyl Phosphate,Primary,1,1,NO_CANDIDATE,,,No reliable equivalence,HIGH,"No comparable ingredient exists in the 1,734-name vocabulary.",NO_ACTION
Pro-vitamin B5,Primary,1,1,NO_CANDIDATE,,,No reliable equivalence,HIGH,"No comparable ingredient exists in the 1,734-name vocabulary.",NO_ACTION
Propylene Carbonate,Secondary,1,1,NO_CANDIDATE,,,No reliable equivalence,HIGH,"No comparable ingredient exists in the 1,734-name vocabulary.",NO_ACTION
Protects Against Sun Damage,Secondary,1,1,NO_CANDIDATE,,,No reliable equivalence,HIGH,"No comparable ingredient exists in the 1,734-name vocabulary.",NO_ACTION
Prunusarmeniaca - 10.0%,Secondary,1,1,NO_CANDIDATE,,,No reliable equivalence,HIGH,"No comparable ingredient exists in the 1,734-name vocabulary.",NO_ACTION
Prunusarmeniaca - 14.0%,Secondary,1,1,NO_CANDIDATE,,,No reliable equivalence,HIGH,"No comparable ingredient exists in the 1,734-name vocabulary.",NO_ACTION
Psiyetobutene,Primary,1,1,NO_CANDIDATE,,,No reliable equivalence,HIGH,"No comparable ingredient exists in the 1,734-name vocabulary.",NO_ACTION
Punicagranatum - 0.2%,Secondary,1,1,NO_CANDIDATE,,,No reliable equivalence,HIGH,"No comparable ingredient exists in the 1,734-name vocabulary.",NO_ACTION
Pvp,Primary,1,1,NO_CANDIDATE,,,No reliable equivalence,HIGH,"No comparable ingredient exists in the 1,734-name vocabulary.",NO_ACTION
Rakhta Chandan,Secondary,1,1,NO_CANDIDATE,,,No reliable equivalence,HIGH,"No comparable ingredient exists in the 1,734-name vocabulary.",NO_ACTION
Raw Cane Sugar,Secondary,1,1,NO_CANDIDATE,,,No reliable equivalence,HIGH,"No comparable ingredient exists in the 1,734-name vocabulary.",NO_ACTION
Red 4 (CI_COLOUR),Secondary,1,1,NO_CANDIDATE,,,No reliable equivalence,HIGH,"No comparable ingredient exists in the 1,734-name vocabulary.",NO_ACTION
Reduces Signs Of Tired,Primary,1,1,NO_CANDIDATE,,,No reliable equivalence,HIGH,"No comparable ingredient exists in the 1,734-name vocabulary.",NO_ACTION
Rhussuccedanea Fruit Wax,Secondary,1,1,NO_CANDIDATE,,,No reliable equivalence,HIGH,"No comparable ingredient exists in the 1,734-name vocabulary.",NO_ACTION
Rubus Idaeus Juice,Secondary,1,1,NO_CANDIDATE,,,No reliable equivalence,HIGH,"No comparable ingredient exists in the 1,734-name vocabulary.",NO_ACTION
SODIUM STEARATE,Primary,1,1,NO_CANDIDATE,,,No reliable equivalence,HIGH,"No comparable ingredient exists in the 1,734-name vocabulary.",NO_ACTION
SPF 50+ PA,Secondary,1,1,NO_CANDIDATE,,,No reliable equivalence,HIGH,"No comparable ingredient exists in the 1,734-name vocabulary.",NO_ACTION
Sanjeevani Infusion - 2.0%,Primary,1,1,NO_CANDIDATE,,,No reliable equivalence,HIGH,"No comparable ingredient exists in the 1,734-name vocabulary.",NO_ACTION
Saposhnikovia Divaricata Root Extract,Primary,1,1,NO_CANDIDATE,,,No reliable equivalence,HIGH,"No comparable ingredient exists in the 1,734-name vocabulary.",NO_ACTION
Sarcosine,Primary,1,1,NO_CANDIDATE,,,No reliable equivalence,HIGH,Nearest name is only superficially similar; no genuine candidate exists.,NO_ACTION
Seboclear Mp,Primary,1,1,NO_CANDIDATE,,,No reliable equivalence,HIGH,"No comparable ingredient exists in the 1,734-name vocabulary.",NO_ACTION
Silk Powder,Secondary,1,1,NO_CANDIDATE,,,No reliable equivalence,HIGH,Nearest name is only superficially similar; no genuine candidate exists.,NO_ACTION
Skin Barrier Arginine,Primary,1,1,NO_CANDIDATE,,,No reliable equivalence,HIGH,"No comparable ingredient exists in the 1,734-name vocabulary.",NO_ACTION
Skin Conditioning Agent,Secondary,1,1,NO_CANDIDATE,,,No reliable equivalence,HIGH,"No comparable ingredient exists in the 1,734-name vocabulary.",NO_ACTION
Sodium Acrylates,Primary,1,1,NO_CANDIDATE,,,No reliable equivalence,HIGH,Nearest name is only superficially similar; no genuine candidate exists.,NO_ACTION
Sodium Acrylates Crosspolymer 2,Secondary,1,1,NO_CANDIDATE,,,No reliable equivalence,HIGH,Nearest name is only superficially similar; no genuine candidate exists.,NO_ACTION
Sodium Carbomer,Secondary,1,1,NO_CANDIDATE,,,No reliable equivalence,HIGH,"No comparable ingredient exists in the 1,734-name vocabulary.",NO_ACTION
Sodium Collagen,Primary,1,1,NO_CANDIDATE,,,No reliable equivalence,HIGH,Nearest name is only superficially similar; no genuine candidate exists.,NO_ACTION
Sodium Metabisulphite,Secondary,1,1,NO_CANDIDATE,,,No reliable equivalence,HIGH,"No comparable ingredient exists in the 1,734-name vocabulary.",NO_ACTION
Sodium Polyacryloyldimethyl Taurate,Primary,1,1,NO_CANDIDATE,,,No reliable equivalence,HIGH,"No comparable ingredient exists in the 1,734-name vocabulary.",NO_ACTION
Sodium Salicylate,Secondary,1,1,NO_CANDIDATE,,,No reliable equivalence,HIGH,Nearest name is only superficially similar; no genuine candidate exists.,NO_ACTION
Soothes,Secondary,1,1,NO_CANDIDATE,,,No reliable equivalence,HIGH,"No comparable ingredient exists in the 1,734-name vocabulary.",NO_ACTION
Soothes Irritation,Primary,1,1,NO_CANDIDATE,,,No reliable equivalence,HIGH,"No comparable ingredient exists in the 1,734-name vocabulary.",NO_ACTION
Stearyl Heptanoate,Secondary,1,1,NO_CANDIDATE,,,No reliable equivalence,HIGH,"No comparable ingredient exists in the 1,734-name vocabulary.",NO_ACTION
Strengthens The Skin Barrier,Primary,1,1,NO_CANDIDATE,,,No reliable equivalence,HIGH,"No comparable ingredient exists in the 1,734-name vocabulary.",NO_ACTION
Structured Energized Water,Secondary,1,1,NO_CANDIDATE,,,No reliable equivalence,HIGH,"No comparable ingredient exists in the 1,734-name vocabulary.",NO_ACTION
Styrene,Primary,1,1,NO_CANDIDATE,,,No reliable equivalence,HIGH,"No comparable ingredient exists in the 1,734-name vocabulary.",NO_ACTION
Succinoglycan,Secondary,1,1,NO_CANDIDATE,,,No reliable equivalence,HIGH,"No comparable ingredient exists in the 1,734-name vocabulary.",NO_ACTION
Sucrose Cocoate,Primary,1,1,NO_CANDIDATE,,,No reliable equivalence,HIGH,Nearest name is only superficially similar; no genuine candidate exists.,NO_ACTION
Suncat MTA,Primary,1,1,NO_CANDIDATE,,,No reliable equivalence,HIGH,"No comparable ingredient exists in the 1,734-name vocabulary.",NO_ACTION
Sunflower Seed Oil Glycerides,Secondary,1,1,NO_CANDIDATE,,,No reliable equivalence,HIGH,Nearest name is only superficially similar; no genuine candidate exists.,NO_ACTION
Sunflower Seed Oils And Rosemary Extract,Secondary,1,1,NO_CANDIDATE,,,No reliable equivalence,HIGH,Nearest name is only superficially similar; no genuine candidate exists.,NO_ACTION
Sunflower Sprout Extract 2%,Primary,1,1,NO_CANDIDATE,,,No reliable equivalence,HIGH,Nearest name is only superficially similar; no genuine candidate exists.,NO_ACTION
THYMOL,Primary,1,1,NO_CANDIDATE,,,No reliable equivalence,HIGH,"No comparable ingredient exists in the 1,734-name vocabulary.",NO_ACTION
Tamarindus Indica Extract,Primary,1,1,NO_CANDIDATE,,,No reliable equivalence,HIGH,Nearest name is only superficially similar; no genuine candidate exists.,NO_ACTION
Tazmann Pepper,Primary,1,1,NO_CANDIDATE,,,No reliable equivalence,HIGH,"No comparable ingredient exists in the 1,734-name vocabulary.",NO_ACTION
Tea Tree Flower,Secondary,1,1,NO_CANDIDATE,,,No reliable equivalence,HIGH,Nearest name is only superficially similar; no genuine candidate exists.,NO_ACTION
Tetrasodium Iminodisuccinate,Secondary,1,1,NO_CANDIDATE,,,No reliable equivalence,HIGH,"No comparable ingredient exists in the 1,734-name vocabulary.",NO_ACTION
Theobroma Coconut,Primary,1,1,NO_CANDIDATE,,,No reliable equivalence,HIGH,Nearest name is only superficially similar; no genuine candidate exists.,NO_ACTION
Thethanolamine Sodium Polyacrylate,Primary,1,1,NO_CANDIDATE,,,No reliable equivalence,HIGH,"No comparable ingredient exists in the 1,734-name vocabulary.",NO_ACTION
This Advanced Formulation Enhances Moisture Retention,Primary,1,1,NO_CANDIDATE,,,No reliable equivalence,HIGH,"No comparable ingredient exists in the 1,734-name vocabulary.",NO_ACTION
Thyme Oil,Secondary,1,1,NO_CANDIDATE,,,No reliable equivalence,HIGH,"No comparable ingredient exists in the 1,734-name vocabulary.",NO_ACTION
Treemoss Extract,Primary,1,1,NO_CANDIDATE,,,No reliable equivalence,HIGH,Nearest name is only superficially similar; no genuine candidate exists.,NO_ACTION
Triceteareth-4 Phosphate,Secondary,1,1,NO_CANDIDATE,,,No reliable equivalence,HIGH,"No comparable ingredient exists in the 1,734-name vocabulary.",NO_ACTION
Trideceth-10,Secondary,1,1,NO_CANDIDATE,,,No reliable equivalence,HIGH,"No comparable ingredient exists in the 1,734-name vocabulary.",NO_ACTION
Trideceth-6,Primary,1,1,NO_CANDIDATE,,,No reliable equivalence,HIGH,"No comparable ingredient exists in the 1,734-name vocabulary.",NO_ACTION
Trideceth-9,Secondary,1,1,NO_CANDIDATE,,,No reliable equivalence,HIGH,"No comparable ingredient exists in the 1,734-name vocabulary.",NO_ACTION
Triethylcitrate,Secondary,1,1,NO_CANDIDATE,,,No reliable equivalence,HIGH,"No comparable ingredient exists in the 1,734-name vocabulary.",NO_ACTION
Triethylhexanoin,Secondary,1,1,NO_CANDIDATE,,,No reliable equivalence,HIGH,Nearest name is only superficially similar; no genuine candidate exists.,NO_ACTION
Tris Citrate,Primary,1,1,NO_CANDIDATE,,,No reliable equivalence,HIGH,"No comparable ingredient exists in the 1,734-name vocabulary.",NO_ACTION
Triticum Vulgare - 1.0%,Secondary,1,1,NO_CANDIDATE,,,No reliable equivalence,HIGH,"No comparable ingredient exists in the 1,734-name vocabulary.",NO_ACTION
Triticum Vulgare -2.0%,Primary,1,1,NO_CANDIDATE,,,No reliable equivalence,HIGH,"No comparable ingredient exists in the 1,734-name vocabulary.",NO_ACTION
Triticum Vulgare Germ Oil,Secondary,1,1,NO_CANDIDATE,,,No reliable equivalence,HIGH,"No comparable ingredient exists in the 1,734-name vocabulary.",NO_ACTION
Triticum Vulgare Starch,Secondary,1,1,NO_CANDIDATE,,,No reliable equivalence,HIGH,"No comparable ingredient exists in the 1,734-name vocabulary.",NO_ACTION
Undecane And Tridecane,Secondary,1,1,NO_CANDIDATE,,,No reliable equivalence,HIGH,"No comparable ingredient exists in the 1,734-name vocabulary.",NO_ACTION
Univul T150,Primary,1,1,NO_CANDIDATE,,,No reliable equivalence,HIGH,"No comparable ingredient exists in the 1,734-name vocabulary.",NO_ACTION
Usheer,Secondary,1,1,NO_CANDIDATE,,,No reliable equivalence,HIGH,"No comparable ingredient exists in the 1,734-name vocabulary.",NO_ACTION
Uvinal A Plus,Primary,1,1,NO_CANDIDATE,,,No reliable equivalence,HIGH,"No comparable ingredient exists in the 1,734-name vocabulary.",NO_ACTION
Vegan Mung Mucin,Secondary,1,1,NO_CANDIDATE,,,No reliable equivalence,HIGH,"No comparable ingredient exists in the 1,734-name vocabulary.",NO_ACTION
Viola Odorata Leaf Extract,Secondary,1,1,NO_CANDIDATE,,,No reliable equivalence,HIGH,"No comparable ingredient exists in the 1,734-name vocabulary.",NO_ACTION
Vp/eicosene Copolymer,Primary,1,1,NO_CANDIDATE,,,No reliable equivalence,HIGH,"No comparable ingredient exists in the 1,734-name vocabulary.",NO_ACTION
Vp/hexadecene Copolymer,Primary,1,1,NO_CANDIDATE,,,No reliable equivalence,HIGH,"No comparable ingredient exists in the 1,734-name vocabulary.",NO_ACTION
Withania Somnifera -0.5%,Secondary,1,1,NO_CANDIDATE,,,No reliable equivalence,HIGH,"No comparable ingredient exists in the 1,734-name vocabulary.",NO_ACTION
Xylitylglucoside,Secondary,1,1,NO_CANDIDATE,,,No reliable equivalence,HIGH,"No comparable ingredient exists in the 1,734-name vocabulary.",NO_ACTION
Yashad Bhasma,Secondary,1,1,NO_CANDIDATE,,,No reliable equivalence,HIGH,"No comparable ingredient exists in the 1,734-name vocabulary.",NO_ACTION
Yellow 5 (CI_COLOUR),Secondary,1,1,NO_CANDIDATE,,,No reliable equivalence,HIGH,"No comparable ingredient exists in the 1,734-name vocabulary.",NO_ACTION
Β-white,Primary,1,1,NO_CANDIDATE,,,No reliable equivalence,HIGH,"No comparable ingredient exists in the 1,734-name vocabulary.",NO_ACTION
Lactobacillus,Primary + Secondary,5,5,REVIEW_REQUIRED,Lactobacillus Ferment (Milk Probiotic),0.51,Same source but different material,LOW,Names the organism; the canonical is a milk ferment.,REVIEW_MANUALLY
Calamine,Primary + Secondary,4,4,REVIEW_REQUIRED,Calamine Clay,0.762,Same source but different material,MEDIUM,"Likely the same mineral, but the canonical adds a 'Clay' form.",REVIEW_MANUALLY
Retinyl Propionate,Primary,4,4,REVIEW_REQUIRED,Vitamin A (Retinyl Propionate),0.75,Exact semantic equivalent,MEDIUM,"Two canonical rows carry this molecule in parentheses, so the target is ambiguous.",REVIEW_MANUALLY
Acerola Fruit Extract,Secondary,3,3,REVIEW_REQUIRED,Acerola Cherry Extract,0.791,Botanical naming variation,MEDIUM,Acerola is the cherry; part naming differs.,REVIEW_MANUALLY
Green Tea,Primary + Secondary,3,3,REVIEW_REQUIRED,Green Tea Oil,0.818,Same source but material unspecified,MEDIUM,"Names the source organism only; the sheet holds several materials from it (oil, extract, powder, water) with different scores.",REVIEW_MANUALLY
Jasmine,Primary + Secondary,3,3,REVIEW_REQUIRED,Jasmine Oil,0.778,Same source but material unspecified,MEDIUM,"Names the source organism only; the sheet holds several materials from it (oil, extract, powder, water) with different scores.",REVIEW_MANUALLY
Olea Europaea,Primary,3,3,REVIEW_REQUIRED,Olea Europaea (Olive) Fruit Oil,0.591,Botanical naming variation,MEDIUM,"Correct plant, but the dataset name does not say which material (oil, extract); several olive entries exist.",REVIEW_MANUALLY
Saccharomyces Ferment Filtrate,Secondary,3,3,REVIEW_REQUIRED,Saccharomyces ferment,0.824,Same source but different material,LOW,"Same yeast, but filtrate/lysate/ferment are different preparations.",REVIEW_MANUALLY
Vitamin B5,Primary + Secondary,3,3,REVIEW_REQUIRED,Panthenol,0.211,INCI/common-name equivalence,MEDIUM,"B5 is pantothenic acid; panthenol is its provitamin, not strictly the same molecule.",REVIEW_MANUALLY
3-Propanediol,Secondary,2,2,REVIEW_REQUIRED,Propanediol,0.917,Chemical naming equivalence,MEDIUM,"Almost certainly a truncated '1,3-Propanediol', which is INCI Propanediol, but the name as written is malformed.",REVIEW_MANUALLY
Ashwagandha,Secondary,2,2,REVIEW_REQUIRED,Ashwagandha Extract,0.733,Same source but material unspecified,MEDIUM,"Names the source organism only; the sheet holds several materials from it (oil, extract, powder, water) with different scores.",REVIEW_MANUALLY
Avocado,Primary,2,2,REVIEW_REQUIRED,Avocado Oil,0.778,Same source but material unspecified,MEDIUM,"Names the source organism only; the sheet holds several materials from it (oil, extract, powder, water) with different scores.",REVIEW_MANUALLY
Capsicum Annuum Fruit Extract,Primary,2,2,REVIEW_REQUIRED,Capsicum Extract,0.711,Botanical naming variation,MEDIUM,Binomial plus part vs the generic entry.,REVIEW_MANUALLY
Ceramide III B,Primary,2,2,REVIEW_REQUIRED,Ceramide NP,0.72,Chemical naming equivalence,LOW,"'III B' denotes a specific grade, not plainly Ceramide 3.",REVIEW_MANUALLY
Marigold,Secondary,2,2,REVIEW_REQUIRED,Marigold Extract,0.667,Same source but material unspecified,MEDIUM,"Names the source organism only; the sheet holds several materials from it (oil, extract, powder, water) with different scores.",REVIEW_MANUALLY
Phytosteryl,Secondary,2,2,REVIEW_REQUIRED,Phytosterol,0.909,Chemical naming equivalence,LOW,'Phytosteryl' is the ester radical prefix; the entry looks truncated.,REVIEW_MANUALLY
Prickly Pear Flower,Primary,2,2,REVIEW_REQUIRED,Prickly Pear Flower Extract,0.826,Same source but different material,LOW,Raw name gives no preparation.,REVIEW_MANUALLY
Alcohol Denat.37% C Abyter,Primary,1,1,REVIEW_REQUIRED,Alcohol Denat.,0.7,Formatting variation,LOW,Begins with a real canonical ingredient but carries trailing concentration or marketing text; needs a data-side clean-up rather than an alias.,REVIEW_MANUALLY
Algae Extract 1,Primary,1,1,REVIEW_REQUIRED,Algae Extract,0.929,Formatting variation,LOW,Trailing '1' is unexplained; may be a footnote marker or a grade.,REVIEW_MANUALLY
Aloe Extract 5% W,Primary,1,1,REVIEW_REQUIRED,Aloe Extract,0.828,Formatting variation,LOW,Begins with a real canonical ingredient but carries trailing concentration or marketing text; needs a data-side clean-up rather than an alias.,REVIEW_MANUALLY
Bacteria Horehound Extract,Secondary,1,1,REVIEW_REQUIRED,Horehound extract,0.791,Formatting variation,LOW,Unexplained 'Bacteria' prefix on an otherwise matching name.,REVIEW_MANUALLY
Bamboo Vulgaris Extract,Secondary,1,1,REVIEW_REQUIRED,Bamboo Extract,0.757,Botanical naming variation,MEDIUM,Bambusa vulgaris; the sheet has both a generic and a species-specific bamboo row.,REVIEW_MANUALLY
Black Grape Extract,Secondary,1,1,REVIEW_REQUIRED,Grape Extract,0.812,Botanical naming variation,LOW,A grape variety qualifier the generic entry may or may not represent.,REVIEW_MANUALLY
Blueberry Seed Oil,Primary,1,1,REVIEW_REQUIRED,Upcycled Blueberry Seed Oil,0.8,Formatting variation,MEDIUM,"Only the sourcing word 'Upcycled' differs, but that is the sole blueberry seed oil row.",REVIEW_MANUALLY
Butrospermum Parkii Butter,Secondary,1,1,REVIEW_REQUIRED,Shea Butter,0.541,Botanical naming variation,MEDIUM,Butyrospermum parkii is shea; both the raw name and the nearest canonical are misspelled.,REVIEW_MANUALLY
Camellia Oleifera Seed Oil,Secondary,1,1,REVIEW_REQUIRED,Camellia Oil,0.632,Botanical naming variation,MEDIUM,Camellia oleifera seed oil is tea seed oil; the sheet's 'Camellia Oil' is unqualified.,REVIEW_MANUALLY
Camellia Sinesis Leaf Extract,Secondary,1,1,REVIEW_REQUIRED,Camellia Extract,0.711,Botanical naming variation,MEDIUM,Misspelling of Camellia sinensis (tea); the sheet's tea entries are specific preparations.,REVIEW_MANUALLY
Carrot Seed,Primary,1,1,REVIEW_REQUIRED,Carrot Seed Oil,0.846,Same source but material unspecified,MEDIUM,"Names the source organism only; the sheet holds several materials from it (oil, extract, powder, water) with different scores.",REVIEW_MANUALLY
Chondrus Crispsus,Primary,1,1,REVIEW_REQUIRED,Chondrus Crispus Extract,0.78,Same source but material unspecified,MEDIUM,"Names the source organism only; the sheet holds several materials from it (oil, extract, powder, water) with different scores.",REVIEW_MANUALLY
Cica Extract,Primary,1,1,REVIEW_REQUIRED,Centella Extract,0.714,INCI/common-name equivalence,MEDIUM,"'Cica' is shorthand for Centella, already used by an existing alias.",REVIEW_MANUALLY
Citrus Paradisi Fruit Extract,Secondary,1,1,REVIEW_REQUIRED,Grapefruit Extract,0.638,Botanical naming variation,LOW,"Grapefruit, but the sheet holds both 'Grape Fruit Extract' and 'Grapefruit Extract' as separate rows, so the target is ambiguous.",REVIEW_MANUALLY
Coconut,Primary,1,1,REVIEW_REQUIRED,Coconut Oil,0.778,Same source but material unspecified,MEDIUM,"Names the source organism only; the sheet holds several materials from it (oil, extract, powder, water) with different scores.",REVIEW_MANUALLY
Coffee Bean Extract,Primary,1,1,REVIEW_REQUIRED,Coffee Extract,0.848,Botanical naming variation,MEDIUM,"Coffee extract is made from the bean, but the sheet does not say so explicitly.",REVIEW_MANUALLY
Copper peptide-1 (ghk-cu),Primary,1,1,REVIEW_REQUIRED,Copper tripeptide,0.667,Chemical naming equivalence,MEDIUM,"GHK-Cu is copper tripeptide-1, which the project already aliases; naming differs enough to confirm.",REVIEW_MANUALLY
Cucumber,Primary,1,1,REVIEW_REQUIRED,Cucumber Extract,0.667,Same source but material unspecified,MEDIUM,"Names the source organism only; the sheet holds several materials from it (oil, extract, powder, water) with different scores.",REVIEW_MANUALLY
Dictyopteris Membranacea,Secondary,1,1,REVIEW_REQUIRED,Dictyopteris Membranacea Extract,0.857,Same source but material unspecified,MEDIUM,"Names the source organism only; the sheet holds several materials from it (oil, extract, powder, water) with different scores.",REVIEW_MANUALLY
Geranium Robertianum Extract,Secondary,1,1,REVIEW_REQUIRED,Geranium extract,0.727,Botanical naming variation,LOW,A specific Geranium species vs the genus-level entry.,REVIEW_MANUALLY
Ginger Root,Primary,1,1,REVIEW_REQUIRED,Ginger Root Oils,0.815,Same source but material unspecified,MEDIUM,"Names the source organism only; the sheet holds several materials from it (oil, extract, powder, water) with different scores.",REVIEW_MANUALLY
Giycerin Shea Butter,Secondary,1,1,REVIEW_REQUIRED,Shea Butter,0.71,No reliable equivalence,LOW,"Two ingredients in one cell, one misspelled; should be split in the dataset.",REVIEW_MANUALLY
Goat Milk,Primary,1,1,REVIEW_REQUIRED,Goat Milk Powder,0.72,Same source but material unspecified,MEDIUM,"Names the source organism only; the sheet holds several materials from it (oil, extract, powder, water) with different scores.",REVIEW_MANUALLY
Graperuit Fruit Extract,Primary,1,1,REVIEW_REQUIRED,Grapefruit Extract,0.878,Botanical naming variation,LOW,"Grapefruit, but the sheet holds both 'Grape Fruit Extract' and 'Grapefruit Extract' as separate rows, so the target is ambiguous.",REVIEW_MANUALLY
